company,brand_name,country,product_category,contact_name,email_address,address,license_number,pdf,certification_body,expiry_date,product_details
ALAYA FABRICES,,"India (IN), Tamil Nadu","Accessories, Home Textiles",,mailto:alaya.ravi@gmail.com,"11/170 A2, SELVAGANAPATHI NAGAR OPP. SRINIVASA MANDAPAM, KADAYAMPATTY, 637502, Salem",133459,,Ecocert Greenlife,12/31/2024,BagsScarvesTowelshandbagskitchen linenpouches (PD0024)shawlstoilet linen (PD0017)totesveils (PD0028)
ALB IC VE DIS TICARET TEKSTIL GIYIM SANAYI LIMITED SIRKETI,,Turkey (TR),"Ladieswear, Children's wear, Men's wear",Atalay Keskin,,"Guzelyali Mah. Erdil Sk. No: 26 Ic, Pendik,, Kapi No: 1, 34903, Istanbul",GCL-301651,,GCL International,5/30/2024,"Women's Apparel (PC0002) [Active wearsportswear (PD0008) 100% Organic Cotton (RM0104) ]
Children's Apparel (PC0004)[ Active wearsportswear (PD0008) 100% Organic Cotton (RM0104) ]
Men's Apparel (PC0001) [Active wearsportswear (PD0008) 100% Organic Cotton (RM0104) ]
Women's Apparel (PC0002)[ Active wearsportswear (PD0008) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex)
(RM0160)]
Children's Apparel (PC0004) [Active wearsportswear (PD0008) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) ]sportswear (PD0008) 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) ]
Men's Apparel (PC0001)[ Active wear"
Albero i Sempere SL,,Spain (ES),Raw Fibres,,mailto:ais@alberoisempere.es,"C/San Luis, N.º 9, 03450, Bañeres de Mariola",1284539,,Control Union Certifications,1/30/2025,
Albert Schäfer Strumpffabrik GmbH,,Germany (DE),"Garments, Socks",,mailto:info@strumpffabrik-schaefer.de,"Johann-Fruhen-Str. 43, 47929, Grefrath",BCS 27057,,BCS,9/30/2024,Babies apparel - SocksBabies apparel - SocksChildren’s apparel - SocksChildren’s apparel - SocksUnisex apparel - Socks - Made with organichosiery - Made with organichosiery - Organicleggings - Made with organicleggings - Organictightstights
ALBISETTI INDUSTRIES SRL,,Italy (IT),Garments,TOMMASO ANTONIO BIANCHI,mailto:tommaso.bianchi@albisettiindustries.it,"Bastioni di Porta Nuova, 21, 20121, Milano",ICEA-TX-1975,,ICEA Istituto per la Certificazione Etica e Ambientale,6/23/2024,Unisex apparel (PC0005)Women's apparel (PC0002)
ALCOT FABRICS,,"India (IN), Tamil Nadu","Accessories, Home Textiles",,mailto:info@alcotfabrics.net,"KARUR 639001 Tamil Nadu INDIA, 9/476, SAKTHI NAGAR (NEW) CHINNANDAN KOIL ROAD,, 639001, KARUR",279808,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/42025?task=download_certificate,Ecocert Greenlife,6/21/2024,Carried accessories (PC0011)Home textiles (PC0010)Personal care hygiene (PC0013)
Ald Tekstil San. Ve Tic.A.s,,Turkey (TR),Fabrics,,,Demirtas Dumlupinar Osb Mah. Papatya Sok. No:29 Osmangazi,ETKO 00004606,,ETKO Ekolojik Tarim Kontrol Organizasyonu Ltd Sti,3/23/2024,Woven fabrics(PD0059)
ALDA TÊXTEIS LDA,,Portugal (PT),Home Textiles,,,"Rua Angelo Frondoni, 388, 4830-529, Póvoa de Lanhoso",CB-GOTS-CUC-03- 1032080,,Control Union Certifications,7/18/2024,"Home textiles (PC0010) Pillowsbed sheets (PD0015)
Greige fabrics (PC0026) Woven fabrics (PD0059)cushions (PD0023)
Home textiles (PC0010) Bed linen"
Aldoar - Empresa de Confecções Ldª,,Portugal (PT),"Garments, Men's wear",,mailto:isabel@aldoar.com,"Rua Industrial Nº 1671 Vila Frescainha São Pedro, 4750-841, Barcelos",CB-GOTS-CUC-03- 1076012,,Control Union Certifications,5/1/2024,"Men's apparel (PC0001) T-shirtssinglets (PD0007) 100.0%Organic Cotton (RM0104) Organicsinglets (PD0007) 100.0%Organic Cotton (RM0104) Organic
Women's apparel (PC0002) Dressesskirts (PD0011) 100.0%Organic Cotton (RM0104) Organic
Women's apparel (PC0002) T-shirts"
ALEF TEKSTIL SAN. DIS.TIC. A.S.,,Turkey (TR),"Ladieswear, Men's wear",,,"Yarimburgaz Mahallesi 1.Sahin Sokak No:32 Ic Kapi No:6 Kucukcekmece, 34303, Istanbul",USB 003467,,USB Certification,4/5/2024,Sweaterscardigans (PD0004) - 100% organic cotton (RM0104)pullovers
ALESILK SAS,,Italy (IT),"Fabrics, Yarns",Massimo Valli,mailto:style@alesilk.it,"Via Burgatto, 3, 22017, Menaggio (CO)",ICEA-TX-351,,ICEA Istituto per la Certificazione Etica e Ambientale,11/12/2024,Dyed fabrics (PC0025)Greige yarns (PC0030)Undyed fabrics (PC0027)
ALESSANDERX SpA,,Italy (IT),Fabrics,,,"Via San Leonardo da Porto Maurizio, 24/26/28, 59100, Prato (PO)",ICEA-TX-275,,ICEA Istituto per la Certificazione Etica e Ambientale,5/19/2024,Fabrics (PC0028)
Alesta Tekstil Ve Giyim Paz. San. Tic. Ltd. Şti.,,Turkey (TR),Garments,Mehmet Ali Tikir,mailto:mehmetali@alestatextil.com,"Zumrutevler Mh. Nil Cd. No: 32/1, 34583, Istanbul",CU 1021378,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/35285?task=download_certificate,Control Union Certifications,9/23/2024,Garments
Alexandria spinning and weaving co. (SPINALEX),,Egypt (EG),Yarns,,,"plot No: 7157-7146, industrial zone 7, Sadat city, Elmonofyah, Egypt",220616,,Intertek Testing Services,1/1/2025,
"ALEXANDROS GARMENT TREATMENTS, S.A.",,Greece (GR),Garments,MARIA GIANNI,mailto:mariagianni@yahoo.com,,ICEA-TX-1614,,ICEA Istituto per la Certificazione Etica e Ambientale,7/22/2024,Unisex denim apparel (PC0009)
Alfa Patterns (Bangladesh) Limited,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Men's wear",,,"Plot # 58, DEPZ, Ganakbari, Savar, 1349, Savar",CERES-0635,,Ceres,3/6/2024,Pantstrousers (PD0003)
Alfa Shirt BVBA,,Belgium (BE),Garments,,,"Siemenslaan 7, 8020, Oostkamp",839911,,Control Union Certifications,12/1/2024,Screen printed T-shirt - 100% Organic Cotton
ALFATEX SRL,,Italy (IT),Fabrics,EDOARDO GIROLA,mailto:edoardo.girola@alfatexsrl.it,,ICEA-TX-1211,,ICEA Istituto per la Certificazione Etica e Ambientale,12/23/2024,Greige fabrics (PC0026)
Alfaz Enterprise,,Pakistan (PK),"Ladieswear, Men's wear",,,"F-413/A, SITE",1007772,,Control Union Certifications,9/4/2024,"Unisex apparel (PC0005) Overcoatscardigans (PD0004) 70.0% Organic Cotton (RM0104) 30.0% Recycled pre/post-consumer Polyester (RM0187) 
Unisex apparel (PC0005) T-shirtsjacketspulloverssinglets (PD0007) 100.0% Organic Cotton (RM0104)trousers (PD0003) 100.0% Organic Cotton (RM0104) 
Unisex apparel (PC0005) Pantstrousers (PD0003) 70.0% Organic Cotton (RM0104) 30.0% Recycled pre/post-consumer Polyester (RM0187) 
Unisex apparel (PC0005) Sweatersvests (PD0001) 30.0% Recycled pre/post-consumer Polyester (RM0187) 70.0% Organic Cotton (RM0104) 
Unisex apparel (PC0005) Pants"
Alfine Knit Pvt. Ltd.,,"India (IN), Tamil Nadu","Fabrics, Garments, Yarns",Mr. Sudhir Kumar,mailto:sudhir@alfineknit.com,"SFA 115, Kalampalayam Pirivu, Pongupalayam Post,, 641 666, Tirupur",CU 863105,https://global-standard.org/find-suppliers-shops-and-inputs/certified-suppliers/database/search_result/27221?task=download_certificate,Control Union Certifications,2/23/2024,Babies' apparel (PC0003) / Babies' clothing (PD0013) - 100.0% Organic Cotton (RM0104)Babies' apparel (PC0003) / Babies' clothing (PD0013) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)Babies' apparel (PC0003) / Babies' clothing (PD0013) - 95% Organic Cotton (RM0104) + 5% Recycled pre/post-consumer Polyester (RM0187)Babies' apparel (PC0003) / Babies' clothing (PD0013) - 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160)Babies' apparel (PC0003) / Babies' clothing (PD0013) - 98.0% Organic Cotton (RM0104) + 2.0% Elastane (Spandex) (RM0160)Babies' apparel (PC0003) / T-shirtsChildren's apparel (PC0004) / DressesChildren's apparel (PC0004) / DressesChildren's apparel (PC0004) / DressesChildren's apparel (PC0004) / DressesChildren's apparel (PC0004) / DressesChildren's apparel (PC0004) / ShirtsChildren's apparel (PC0004) / ShirtsChildren's apparel (PC0004) / ShirtsChildren's apparel (PC0004) / ShirtsChildren's apparel (PC0004) / T-shirtsChildren's apparel (PC0004) / T-shirtsChildren's apparel (PC0004) / T-shirtsChildren's apparel (PC0004) / T-shirtsChildren's apparel (PC0004) / T-shirtsDyed fabrics (PC0025) / Knitted fabrics (PD0058) - 100.0% Organic Cotton (RM0104)Dyed fabrics (PC0025) / Knitted fabrics (PD0058) - 93% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) + 2% Recycled pre/post-consumer Polyester (RM0187)Dyed fabrics (PC0025) / Knitted fabrics (PD0058) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)Dyed yarns (PC0029) / Normally combed yarns (PD0102) - 100.0% Organic Cotton (RM0104)Dyed yarns (PC0029) / Normally combed yarns (PD0102) - 98% Organic Cotton (RM0104) + 2% Recycled pre/post-consumer Polyester (RM0187)Fabrics (PC0028) / Special fabrics (PD0063) - 100% Organic Cotton (RM0104)Fabrics (PC0028) / Special fabrics (PD0063) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)Greige fabrics (PC0026) / Knitted fabrics (PD0058) - 100.0% Organic Cotton (RM0104)Greige fabrics (PC0026) / Knitted fabrics (PD0058) - 93% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160) + 2% Recycled pre/post-consumer Polyester (RM0187)Greige fabrics (PC0026) / Knitted fabrics (PD0058) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)Greige fabrics (PC0026) / Knitted fabrics (PD0058) - 95.0% Organic Cotton (RM0104) + 5.0% Elastane (Spandex) (RM0160)Greige fabrics (PC0026) / Knitted fabrics (PD0058) - 98% Organic Cotton (RM0104) + 2% Recycled pre/post-consumer Polyester (RM0187)Greige yarns (PC0030) / Normally combed yarns (PD0102) - 100.0% Organic Cotton (RM0104)Greige yarns (PC0030) / Normally combed yarns (PD0102) - 98% Organic Cotton (RM0104) + 2% Recycled pre/post-consumer Polyester (RM0187)Greige yarns (PC0030) / Super combed yarns (PD0068) - 100% Organic Cotton (RM0104)Men's apparel (PC0001) / T-shirtsMen's apparel (PC0001) / T-shirtsMen's apparel (PC0001) / T-shirtsMen's apparel (PC0001) / T-shirtsMen's apparel (PC0001) / T-shirtsPrinted fabrics (PC0039) / Knitted fabrics (PD0058) - 100% Organic Cotton (RM0104)Printed fabrics (PC0039) / Knitted fabrics (PD0058) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)Women's apparel (PC0002) / DressesWomen's apparel (PC0002) / DressesWomen's apparel (PC0002) / DressesWomen's apparel (PC0002) / DressesWomen's apparel (PC0002) / T-shirtsblouses (PD0005) - 100.0% Organic Cotton (RM0104)blouses (PD0005) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)blouses (PD0005) - 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160)blouses (PD0005) - 98.0% Organic Cotton (RM0104) + 2.0% Elastane (Spandex) (RM0160)singlets (PD0007) - 100% Organic Cotton (RM0104)singlets (PD0007) - 100% Organic Cotton (RM0104)singlets (PD0007) - 100.0% Organic Cotton (RM0104)singlets (PD0007) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)singlets (PD0007) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)singlets (PD0007) - 95% Organic Cotton (RM0104) + 5% Recycled pre/post-consumer Polyester (RM0187)singlets (PD0007) - 95% Organic Cotton (RM0104) + 5% Recycled pre/post-consumer Polyester (RM0187)singlets (PD0007) - 95% Organic Cotton (RM0104) + 5% Recycled pre/post-consumer Polyester (RM0187)singlets (PD0007) - 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160)singlets (PD0007) - 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160)singlets (PD0007) - 98% Organic Cotton (RM0104) + 2% Elastane (Spandex) (RM0160)singlets (PD0007) - 98.0% Organic Cotton (RM0104) + 2.0% Elastane (Spandex) (RM0160)skirts (PD0011) - 100.0% Organic Cotton (RM0104)skirts (PD0011) - 100.0% Organic Cotton (RM0104)skirts (PD0011) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)skirts (PD0011) - 95% Organic Cotton (RM0104) + 5% Elastane (Spandex) (RM0160)skirts (PD0011) - 95% Organic Cotton (RM0104) + 5% Recycled pre/post-consumer Polyester (RM0187)skirts (PD0011) - 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160)skirts (PD0011) - 97% Organic Cotton (RM0104) + 3% Elastane (Spandex) (RM0160)skirts (PD0011) - 98.0% Organic Cotton (RM0104) + 2.0% Elastane (Spandex) (RM0160)skirts (PD0011) - 98.0% Organic Cotton (RM0104) + 2.0% Elastane (Spandex) (RM0160)
Alfred Apelt GmbH,,Germany (DE),Home Textiles,,,"An der Rench 2, 77704, Oberkirch",CB-GOTS-CUC-03- 1018050,,Control Union Certifications,5/3/2024,Home textiles (PC0010) / Bed linenbed sheets (PD0015) - 100.0% Organic Cotton (RM0104)
Alfred Seifert & Söhne GmbH,,Germany (DE),"Ladieswear, Men's wear",,,"Industriestraße 10, 74677, Dörzbach",CB-GOTS-CUC-03- 1265147,,Control Union Certifications,1/21/2025,Men's apparel (PC0001)Unisex apparel (PC0005)Women's apparel (PC0002)
Algesta srl,,Italy (IT),Fabrics,Mr. Giuseppe Scotti,mailto:giuseppe@algestasrl.com,"Via Gabrio Serbelloni, 14, 20122, Milano",ICEA-TX-828,,ICEA Istituto per la Certificazione Etica e Ambientale,11/26/2024,Dyed fabrics (PC0025)Greige fabrics (PC0026)Undyed fabrics (PC0027)
ALGODONERA PERUANA S.A.C,,Peru (PE),Yarns,Katherine Cécilia PONCE HERRERA,mailto:kponce@textiloceano.com,AV. NICOLAS AYLLON NRO. 3252 (50 METROS ANTES DEL OVALO STA ANITA) - ATE,273583,,Ecocert Greenlife,2/29/2024,Undyed yarns (PC0031)
ALGODONES DEL BAGES S.A.U,,Spain (ES),"Raw Fibres, Hygiene products",Katerin ARIZA,mailto:laboratori@albasa.es,"C/Frederic Monpou s/n, Sant Vicenç de castellet, 08295, BARCELONE",235855,,Ecocert Greenlife,3/28/2024,"Invasive products (PD0033)
Topical products (PD0032) 
Combed fibers (PD0077)"
ALI & SAMEER INTERNATIONAL,,Pakistan (PK),Fabrics,,,"P-572, Ashrafabad, Hajiabad, Shekhupura Road, Faisalabad",USB TEX4327,,USB Certification,2/10/2024,"Knitted fabrics (PD0058) 100% organic cotton
(RM0104)"
Ali Murtaza Associates (Pvt) Ltd,,Pakistan (PK),Men's wear,,,"22-Km Off Ferozpur Road, Rohi Nala, Mauza Dolu Khurd, 54000, Lahore",USB 002137,,USB Certification,11/1/2024,Pantstrousers (PD0003) - 100% organic cotton (RM0104)
Alib Composite Ltd,,"Bangladesh (BD), Dhaka","Babywear, Ladieswear, Children's wear, Men's wear",,,"Vannara, Mouchak, Kaliakoir, 1750, Gazipur",ETKO 00004810,,ETKO Ekolojik Tarim Kontrol Organizasyonu Ltd Sti,2/2/2025,T-shirtssinglets (PD0007)Pantstrousers (PD0003)Babies' clothing (PD0013)
ALIBI,,Italy (IT),Fabrics,,,"Via Bruges, 39, 59100, PRATO",-1089169,,Control Union Certifications,6/18/2024,
Alim Knit (BD) Ltd.,,"Bangladesh (BD), Dhaka","Babywear, Children's wear, Fabrics, Ladieswear, Men's wear",,,"Kashimpur, Nayapara, Gazipur Sadar, Gazipur, BD-C, 1346, Bangladesh, BD, 1346, Gazipur",GOTS-20200275,,GSCS,5/31/2024,"Hoodies (PD0100)Knitted fabrics (PD0058)
Overcoatsblouses (PD0005)
Undergarmentjacketsrobes (PD0006)
T-shirtssinglets (PD0007)
Activewearskirts (PD0000)
Babies' clothing (PD0013)
Suitssleepwearsportswear (PD0008)
Dressessuit- pants (PD0002)
Sweatshirtstrousers (PD0003)
Shirtsvests (PD0001)
Pants"
ALINDA TEKSTIL BOYA APRE SANAYI VE TICARET ANONIM SIRKETI,,Turkey (TR),"Fabrics, Yarns",Ahmet Rasih Kayalioglu,,"Akcesme Mah. Degirmen Cad. Alinda Tekstil Sa. ve Tic. AS. No: 49 Ic Kapi No: 1,, Denizli,, Kapi No: 1, 20020, Merkezefendi,",GCL-300021,,GCL International,10/21/2024,"Dyed fabrics (PC0025) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post
Consumer Polyester (RM0187)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 100% Organic Cotton (RM0104)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 90% Organic Cotton (RM0104) + 10% Viscose (rayon)
(RM0238) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Hemp (RM0114)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 80% Organic Cotton (RM0104) + 20% Recycled Pre/Post
Consumer Polyester (RM0187)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 100% Organic Flax (linen) (RM0110) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 100% Organic Cotton (RM0104) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 70% Organic Cotton (RM0104) + 30% Flax (linen) (RM0108)
Dyed Yarns (PC0029) Open end Yarns (PD0066) 90% Organic Cotton (RM0104) + 10% Viscose (rayon)
(RM0238) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post
Consumer Polyester (RM0187) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 80% Organic Cotton (RM0104) + 20% Recycled Pre/Post Consumer Polyester (RM0187)
Dyed Yarns (PC0029) Open end Yarns (PD0066) 100% Organic Flax(linen) (RM0110) 
Dyed Yarns (PC0029) Carded Yarns (PD0067) 100% Organic Cotton (RM0104)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 90% Organic Cotton (RM0104) + 10% Viscose (rayon)
(RM0238) 
Dyed Yarns (PC0029) Carded Yarns (PD0067) 80% Organic Cotton (RM0104) + 20% Recycled Pre/Post
Consumer Polyester (RM0187)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post
Consumer Polyester (RM0187)
Dyed Yarns (PC0029) Super combed yarns (PD0068) 100% Organic Cotton (RM0104) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 70% Organic Cotton (RM0104) + 30% Flax (linen) (RM0108) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 90% Organic Cotton (RM0104) + 10% Viscose (rayon)
(RM0238) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 80% Organic Cotton (RM0104) + 20% Recycled Pre/Post
Consumer Polyester (RM0187) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 70% Organic Cotton (RM0104) + 30% Recycled Pre/Post
Consumer Polyester (RM0187) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 100% Organic Flax(linen) (RM0110)
Dyed Yarns (PC0029) Open end Yarns (PD0066) 70% Organic Cotton (RM0104) + 30% Bamboo (RM0090) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 90% Organic Cotton (RM0104) + 10% Lyocell (RM0226) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 70% Organic Cotton (RM0104) + 30% Lyocell (RM0226)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 100% Organic Hemp (RM0116)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 70% Organic Cotton (RM0104) + 30% Flax (linen) (RM0108) 
Dyed Yarns (PC0029) Carded Yarns (PD0067) 70% Organic Cotton (RM0104) + 30% Bamboo (RM0090)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 70% Organic Cotton (RM0104) + 30% Lyocell (RM0226)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 90% Organic Cotton (RM0104) + 10% Lyocell (RM0226) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Flax (linen) (RM0108) 
Dyed Yarns (PC0029) Carded Yarns (PD0067) 70% Organic Cotton (RM0104) + 30% Hemp (RM0114) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 70% Organic Cotton (RM0104) + 30% Hemp (RM0114)
Dyed Yarns (PC0029) Carded Yarns (PD0067) 100% Organic Hemp (RM0116) 
Dyed Yarns (PC0029) Super combed yarns (PD0068) 100% Organic Hemp (RM0116) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 100% Organic Hemp (RM0116) 
Dyed Yarns (PC0029) Open end Yarns (PD0066) 70% Organic Cotton (RM0104) + 30% Hemp (RM0114) 
Dyed Yarns (PC0029) Carded Yarns (PD0067) 100% Organic Flax (linen) (RM0110) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 90% Organic Cotton (RM0104) + 10% Lyocell (RM0226) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Bamboo (RM0090)
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 70% Organic Cotton (RM0104) + 30% Lyocell (RM0226)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Cotton (RM0104) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Flax (linen) (RM0108) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 90% Organic Cotton (RM0104) + 10% Viscose (rayon)
(RM0238) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Hemp (RM0114)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Bamboo (RM0090) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 90% Organic Cotton (RM0104) + 10% Lyocell (RM0226) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Lyocell (RM0226)
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 80% Organic Cotton (RM0104) + 20% Recycled Pre/post Consumer Polyester (RM0187) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 70% Organic Cotton (RM0104) + 30% Recycled Pre/post
Consumer Polyester (RM0187) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Hemp (RM0116) 
Dyed fabrics (PC0025) Knitted Fabrics (PD0058) 100% Organic Flax(linen) (RM0110) 
Dyed fabrics (PC0025) Woven Fabrics (PD0059) 99% Organic Cotton (RM0104) + 1% Elastane (Spandex)
(RM0160)"
ALIYA GIYIM TEKSTIL SANAYI VE TICARET ANONIM SIRKETI,,Turkey (TR),"Ladieswear, Men's wear",,,"Islahiye Koyu Islahiye Mucavir Mevkii Islahiye Dorus Sk. No:27/0 Merkez, 81100, Duzce",USB 007300,,USB Certification,11/14/2024,T-shirtssinglets (PD0007) - 100% organic cotton (RM0104)
Alkan Textile Company (ALMATEX),,Egypt (EG),"Yarns, Product category (other)",,,"Sadat City - 2nd Industrial Zone, Private Zone, Al Minūfīyah [Monufia], , Egypt",CMPY-156531-GOTS,,Intertek Testing Services,4/13/2024,"Carded yarns
Normally combed yarns
Highly combed yarns
Semi-combed yarns
Super combed yarns
Comber noil"
ALKATEK TEKSTIL SANAYI VE DIS TICARET LIMITED SIRKETI,,Turkey (TR),Children's wear,,,"Terazidere Mah. Gunes Cad. Sinan Sok. No:7/A, Bayrampasa, 34035, Istanbul",USB 003459,,USB Certification,8/15/2024,Sockshosiery (PD0009) - 100% organic cotton (RM0104)
Alkim Tekstil San. Tic.A.Ş.,,Turkey (TR),"Accessories, Babywear, Children's wear, Garments, Underwear, Home Textiles",Yusuf EROĞLU,mailto:yusuf@alkimtex.com,"Akçaburgaz Mahallesi 3026. Sokak No:22 Esenyurt, 3026, Istanbul",CERES-0574,,Ceres,8/15/2024,Babies' accessories (PD0014)Babies' clothing (PD0013)Blankets bedspreads quilts (PD0019)Dresses skirts (PD0011)Gloves mittens hand covering (PD0026)Hats caps headcoverings (PD0030)Pants trousers (PD0003)Shirts blouses (PD0005)Sleeping bags (PD0044)Sweaters pullovers cardigans (PD0004)T-shirts singlets (PD0007)Towels kitchen linen toilet linen (PD0017)Undergarment sleepwear robes (PD0006)
All Saints Retail Ltd.,,United Kingdom (GB),"Ladieswear, Men's wear, Garments",,mailto:sally.williamson@allsaints.com,"Jack's Place Units C15 - C17 6 Corbet Place London, E1 6NN",17197,,IDFL,6/8/2024,
This certificate is currently not valid,,S.,,,,,,,,,
All Season Garments,,"India (IN), Maharashtra","Ladieswear, Children's wear, Fabrics, Men's wear",,,"102, Ivy Centre, Patel Estate Road, Jogeshwari West, 400102, Mumbai,",228469,,Intertek Testing Services,7/8/2024,
ALL SEVEN TEXTILE COMPANY LIMITED,,Viet Nam (VN),Fabrics,Phung,mailto:h7vn.camhoa@gmail.com,"Lot A1-3, A1-4, A1-5, Minh Hung Sikico Industrial Park, Dong No Commune Hon Quan District, Lot A1-3, A1-4, A1-5, Minh Hung Sikico Industrial Park, Dong No Commune Hon Quan District",1246839,,Control Union Certifications,7/27/2024,"Dyed fabrics (PC0025) Knitted fabrics (PD0058) 79.0% Organic Cotton (RM0104) 21.0% Recycled pre/post-consumer Polyester (RM0187)
Dyed fabrics (PC0025) Knitted fabrics (PD0058) 98.0% Organic Cotton (RM0104) 2.0% Elastane (Spandex) (RM0160)
Printed fabrics (PC0039) Knitted fabrics (PD0058) 100.0% Organic Cotton (RM0104)"
"Allcost - Têxteis para Hotelaria, Lda",,Portugal (PT),Home Textiles,,,"Estrada Nacional 206, nº 98, Brito, 4805-026, Guimarães",CB-GOTS-CUC-03- 1000563,,Control Union Certifications,6/6/2024,"Home textiles (PC0010) Bed linenbed sheets (PD0015) 100.0%In Conversion Cotton (RM0103) Organic - In
Conversion
Home textiles (PC0010) Bed linenbed sheets (PD0015) 100.0%Organic Cotton (RM0104) Organic
Home textiles (PC0010) Bed linenbed sheets (PD0015) 100.0%Organic Flax (Linen) (RM0110) Organic
Home textiles (PC0010) Bed linenbed sheets (PD0015) 93.0%Organic Cotton (RM0104) 7.0%Cashmere  (RM0020) Made With Organic
Home textiles (PC0010) Towelskitchen linentoilet linen (PD0017) 100.0%Organic Cotton (RM0104) Organic
Undyed fabrics (PC0027) Woven fabrics (PD0059) 100.0%Organic Cotton (RM0104) Organic"
